# Generated using ESO SkyCalc, assuming airmass = 1 and target 90 degrees above horizon, all other values default
# Photometric zero points are listed here: https://www.eso.org/observing/etc/doc/skycalc/helpskycalc.html#mags
# 
lambda_nm	flux
300	8.04808
300.5	8.78036
301	11.6553
301.5	15.604
302	17.7431
302.5	21.9866
303	31.1721
303.5	40.4193
304	42.8496
304.5	48.8963
305	59.7802
305.5	68.3486
306	70.0913
306.5	71.6612
307	86.7056
307.5	106.375
308	109.665
308.5	119.314
309	113.727
309.5	119.914
310	139.902
310.5	157.548
311	180.624
311.5	194.007
312	212.762
312.5	217.487
313	229.993
313.5	227.948
314	241.28
314.5	279.083
315	280.096
315.5	253.125
316	262.643
316.5	281.646
317	310.403
317.5	336.255
318	328.149
318.5	331.782
319	350.955
319.5	339.298
320	353.465
320.5	403.261
321	432.531
321.5	430.355
322	369.769
322.5	378.772
323	370.642
323.5	393.757
324	420.811
324.5	435.148
325	431.807
325.5	476.318
326	536.011
326.5	586.901
327	574.812
327.5	570.486
328	525.926
328.5	539.161
329	597.397
329.5	646.385
330	654.349
330.5	622.507
331	591.771
331.5	581.962
332	587.993
332.5	595.342
333	588.723
333.5	569.194
334	560.466
334.5	583.086
335	587.756
335.5	587.272
336	559.176
336.5	518.599
337	551.158
337.5	572.701
338	584.571
338.5	589.468
339	587.029
339.5	596.31
340	605.331
340.5	615.339
341	605.147
341.5	585.95
342	604.815
342.5	622.425
343	615.581
343.5	613.235
344	559.32
344.5	521.178
345	553.671
345.5	618.766
346	617
346.5	590.006
347	580.837
347.5	573.337
348	623.268
348.5	632.637
349	618.498
349.5	585.129
350	608.627
350.5	652.942
351	637.237
351.5	616.153
352	598.996
352.5	571.868
353	592.103
353.5	621.942
354	644.429
354.5	693.873
355	682.122
355.5	672.786
356	648.139
356.5	607.418
357	559.892
357.5	516.491
358	494.71
358.5	470.367
359	524.575
359.5	602.521
360	614.616
360.5	610.309
361	592.689
361.5	587.472
362	635.179
362.5	645.98
363	655.261
363.5	675.357
364	668.646
364.5	672.771
365	690.378
365.5	724.657
366	751.698
366.5	777.514
367	776.085
367.5	764.894
368	742.162
368.5	722.806
369	747.301
369.5	783.486
370	806.675
370.5	775.287
371	774.744
371.5	769.611
372	747.67
372.5	715.037
373	682.196
373.5	670.648
374	685.617
374.5	647.913
375	681.471
375.5	715.293
376	730.576
376.5	737.915
377	776.74
377.5	856.053
378	867.634
378.5	884.899
379	819.721
379.5	757.328
380	765.464
380.5	796.338
381	777.982
381.5	773.126
382	702.395
382.5	611.32
383	589.391
383.5	556.783
384	602.406
384.5	681.191
385	708.674
385.5	705.765
386	699.717
386.5	704.549
387	699.374
387.5	703.171
388	696.971
388.5	695.888
389	753.988
389.5	797.127
390	828.899
390.5	875.491
391	938.105
391.5	949.58
392	865.588
392.5	769.276
393	639.142
393.5	492.762
394	578.521
394.5	745.881
395	825.694
395.5	933.763
396	818.356
396.5	669.624
397	654.925
397.5	689.863
398	859.306
398.5	1037.33
399	1114.95
399.5	1159.97
400	1178.49
400.5	1175.78
401	1236.22
401.5	1252.99
402	1252.62
402.5	1250.46
403	1232.45
403.5	1204.07
404	1194.01
404.5	1210.92
405	1239.2
405.5	1202.58
406	1187.22
406.5	1182.03
407	1159.57
407.5	1161.81
408	1211.6
408.5	1238.24
409	1229.03
409.5	1225.08
410	1164.26
410.5	1064.6
411	1132.28
411.5	1215.53
412	1229.81
412.5	1218.17
413	1193.38
413.5	1164.6
414	1140.95
414.5	1114.98
415	1106.98
415.5	1118.67
416	1168.58
416.5	1210.29
417	1174.62
417.5	1118.43
418	1096.65
418.5	1101.6
419	1100.96
419.5	1097.96
420	1113.94
420.5	1125.04
421	1149.38
421.5	1155.21
422	1103.58
422.5	1051.26
423	1055.78
423.5	1101.55
424	1115.18
424.5	1132.11
425	1149.7
425.5	1109.21
426	1095.8
426.5	1097.02
427	1069.28
427.5	1035.78
428	1031.88
428.5	1042.66
429	1012.44
429.5	982.246
430	905.164
430.5	804.07
431	898.339
431.5	1077.86
432	1102.18
432.5	1085.36
433	1091
433.5	1116.14
434	1118.2
434.5	1091.95
435	1099.86
435.5	1115.8
436	1165.7
436.5	1226.33
437	1223
437.5	1179
438	1117.92
438.5	1055.61
439	1092.21
439.5	1165.1
440	1161.61
440.5	1160.66
441	1200.71
441.5	1275.91
442	1266.2
442.5	1276.75
443	1255.98
443.5	1243.08
444	1242.95
444.5	1267.42
445	1237.1
445.5	1189.73
446	1195.15
446.5	1215.56
447	1258.42
447.5	1312.21
448	1297.03
448.5	1270.62
449	1269.15
449.5	1283.73
450	1311.43
450.5	1344.44
451	1349.65
451.5	1334.75
452	1296.34
452.5	1247.93
453	1249.97
453.5	1257.38
454	1270.21
454.5	1270.11
455	1266.11
455.5	1300.22
456	1293.62
456.5	1308.72
457	1315.96
457.5	1318.05
458	1307.38
458.5	1279.94
459	1263.45
459.5	1262.38
460	1270.8
460.5	1278.81
461	1283.35
461.5	1286.7
462	1297.3
462.5	1310.35
463	1299.95
463.5	1281.34
464	1262.95
464.5	1244.38
465	1252.88
465.5	1270.58
466	1260.76
466.5	1226.94
467	1244.94
467.5	1292.2
468	1270.04
468.5	1272.7
469	1259.92
469.5	1260.62
470	1238.43
470.5	1208.77
471	1236.58
471.5	1274.18
472	1296.55
472.5	1300.26
473	1293.56
473.5	1281.33
474	1292.13
474.5	1310.98
475	1309.39
475.5	1298.23
476	1281.58
476.5	1263.31
477	1283.35
477.5	1317.1
478	1312.13
478.5	1294.04
479	1303.85
479.5	1323.7
480	1320.58
480.5	1309.27
481	1317.89
481.5	1340.78
482	1337.71
482.5	1324.18
483	1313.74
483.5	1297.98
484	1287.37
484.5	1283.16
485	1249.51
485.5	1200.96
486	1147.66
486.5	1098.57
487	1114.57
487.5	1173.12
488	1206.32
488.5	1238.76
489	1245.35
489.5	1257.61
490	1270.25
490.5	1294.83
491	1266.8
491.5	1231.24
492	1227.91
492.5	1221.22
493	1219.07
493.5	1225.5
494	1271.67
494.5	1296.76
495	1286.83
495.5	1260.3
496	1251.61
496.5	1279.13
497	1288.45
497.5	1284.57
498	1253.2
498.5	1205.8
499	1213.55
499.5	1247.75
500	1225.36
500.5	1195.68
501	1174.75
501.5	1161.72
502	1174
502.5	1196.36
503	1210.09
503.5	1219.4
504	1208.74
504.5	1190.53
505	1212.07
505.5	1246.52
506	1248
506.5	1240.89
507	1226.46
507.5	1212.01
508	1212.11
508.5	1214.61
509	1217.79
509.5	1214.19
510	1220.62
510.5	1229.73
511	1242.63
511.5	1256.8
512	1235.1
512.5	1199.02
513	1187.96
513.5	1186.55
514	1188.85
514.5	1192.69
515	1198.92
515.5	1206.38
516	1162.28
516.5	1098.15
517	1091.79
517.5	1107.85
518	1097.99
518.5	1078.26
519	1157.42
519.5	1155.52
520	1501.72
520.5	1212.43
521	1200.54
521.5	1206.89
522	1208.43
522.5	1214.21
523	1180.66
523.5	1216.75
524	1276.53
524.5	1234.66
525	1251.41
525.5	1231.23
526	1253.39
526.5	1113.54
527	1111.26
527.5	1168.48
528	1204.75
528.5	1197.17
529	1206.53
529.5	1219.5
530	1251.09
530.5	1228.51
531	1242.12
531.5	1265.15
532	1204.19
532.5	1158.7
533	1207.93
533.5	1202.56
534	1202.86
534.5	1188.89
535	1214.21
535.5	1248.56
536	1230.15
536.5	1198.11
537	1190.84
537.5	1193.93
538	1199.1
538.5	1204.93
539	1193
539.5	1173.48
540	1155.67
540.5	1138.53
541	1154.29
541.5	1184.13
542	1182.33
542.5	1166.9
543	1172.19
543.5	1186.86
544	1191.42
544.5	1194.71
545	1202.19
545.5	1211.52
546	1212.4
546.5	1209.8
547	1202.63
547.5	1193.43
548	1198.67
548.5	1210.12
549	1221.96
549.5	1228.62
550	1221.53
550.5	1212.59
551	1206.22
551.5	1206.08
552	1199.51
552.5	1190.22
553	1192.23
553.5	1199.04
554	1203.74
554.5	1305.33
555	1223.4
555.5	1212.51
556	1199.61
556.5	1268.34
557	1205.78
557.5	1187.76
558	16596
558.5	1187.66
559	1240.02
559.5	1171.5
560	1211.98
560.5	1292.26
561	1190.62
561.5	1186.43
562	1215.51
562.5	1294.2
563	1202.64
563.5	1206.31
564	1226.9
564.5	1251.85
565	1195.66
565.5	1181.52
566	1183.08
566.5	1214.23
567	1225.11
567.5	1221.25
568	1212.9
568.5	1193.2
569	1195.3
569.5	1209.48
570	1210.19
570.5	1174.21
571	1176.62
571.5	1191.07
572	1208.4
572.5	1226.74
573	1230.29
573.5	1226.7
574	1224.36
574.5	1222.81
575	1216.51
575.5	1206.74
576	1206.47
576.5	1210.92
577	1214.69
577.5	1218.04
578	1206.4
578.5	1188.09
579	1191.27
579.5	1204.77
580	1212.5
580.5	1217.29
581	1222.81
581.5	1228.65
582	1235.23
582.5	1242.01
583	1242.16
583.5	1239.03
584	1239.38
584.5	1241.14
585	1228.2
585.5	1208.41
586	1211.03
586.5	1322.34
587	1533.14
587.5	1293.88
588	1218.04
588.5	1188
589	3668.11
589.5	1224.07
590	2439.01
590.5	1223.64
591	1280.19
591.5	1452.3
592	1195.69
592.5	1317.89
593	1212.13
593.5	1526.95
594	1202.18
594.5	1181.03
595	1282.27
595.5	1560.65
596	1196.03
596.5	1208.25
597	1271.9
597.5	1195.89
598	1342.26
598.5	1183.89
599	1183.59
599.5	1188.5
600	1229.82
600.5	1261.76
601	1175.49
601.5	1176.89
602	1172.08
602.5	1163.93
603	1205.99
603.5	1231.84
604	1197.07
604.5	1194.73
605	1191.94
605.5	1189.24
606	1187.96
606.5	1187.71
607	1210.88
607.5	1188.06
608	1186.03
608.5	1182.28
609	1181.33
609.5	1181.82
610	1192.08
610.5	1179.8
611	1168.41
611.5	1180.09
612	1176.93
612.5	1166.13
613	1158.66
613.5	1152.69
614	1252.82
614.5	1245.33
615	1166.96
615.5	1191.33
616	1176.46
616.5	1120.51
617	1312.65
617.5	1154.34
618	1227.76
618.5	1202.61
619	1168.81
619.5	1212.7
620	1166.83
620.5	1331.86
621	1167.85
621.5	1213.67
